id,comment
465,SALUDO NAZI SOLO LES FALTA LAS MANILLITAS XD
466,Y @user APOYA A LAS FEMINAZIS Y LE DICEN VIOLADOR
467,Las jizga x nacer???? Wtf
468,"El estado se compone de 5 partes, entre ellas el territorio y la población. Así que esta canción denuncia a todo el poblado de violadores"
469,Asco estas cosas.. irrespetuosas y asquerosas
470,Nunca habia visto tanta enfermiedad junta
471,Iros a hacer la comida y dejar de hacer gilipolleces
472,"Yo solo buscaba al men que grito: ""a casa que hay que hacer la cena"" jaja pero encerio a esta mierd llaman un himno Pacífico? El violador está ahí el violador eres tú??? Wtf sinceramente son hipócritas y con este himno lo confirman."
473,"Alguien notó algo?las mujeres hicieron esto para ayudar a más mujeres en el mundo ¿y que paso?nadie las tomo enserio pero si dicen en la tele que una chica murió todos se sienten mal!pero si las mujeres alsan la voz no se la toman enserio!ahora esta canción es un remix y nadie la toma enserio 
Ù_Ú"
00473-1,Yo lo tomo muuuuuuuy enserio tanto para venir a reírme en los comentarios por personas como tu jsjsjsj
00473-2,"Una cosa es ver una tragedia por televisión y que informen sobre ese caso 
Y otra es hacer un baile ridiculo que no llagará a ningún lado y cantar usando como ejemplo las mujerea fallecidas"
00473-3,esporque esta cancion es basura y esta echa por hembritas
474,"Ahora con el corona virus . Donde estan estas locas ? ?? Se han desaparecido??
Donde estan los homosecuales???
Donde estan las lesbianas y las feminazies???donde estan las protestas de lis nefastos imponienfo sus ideologias? V"
475,Muchas estupidas
476,Os imagináis pegarse un buen leo os todas ellas pero un peo de esos que te bebes tres vasos de Coca-Cola seguidos Saves
477,"Bueno, yo solo entre a reirme y ya esta. Chau!"
00477-1,si yo también entre para reirme de tu cara
478,No mamen voy a a ser mi despedida de soltero mandenme unas para el soy pero en tanga no gordas ni chaparras
479,Y la culpa no era mía por chatear con quien no debía Dos puntos uve
480,Los carabineros violaban gente en el estallido social de chile porque los necesitaban o no
481,"CIRCO ANDANTE, CIRCO ANDANTE LLEVE SUS BOLETOS EXCLUSIVOS DE HOY: LAS CHIFLADAS DE TODA LATINOAMÉRICA."
00481-01,¿? A q viene tu wea de comentario
00481-02,@user No sé tú dime.
00481-03,@user En Alternativo. dejate de hablar weas noma pendejo wn
00481-04,@user ¿Quién liberó a la atracción principal?
00481-05,@user porfin una feminista ofendidita
00481-06,@user En Alternativo. q wea tay hablando
00481-07,@user si algun problema
00481-08,@user ¿No tú que mier** estás escribiendo?
00481-09,Esta canción fue creada en el contexto de represión de los pacos en el estallido social de octubre del 2019. Pacos bastardos que violaron a mujeres detenidas. Los demás países adoptaron el himno porque les pareció bueno y en cierta forma se sienten identificados.
00481-10,"@user ¿Y por qué no crean también canciones contra esas mujeres que prefieren hombres que tengan dinero, apariencia o cualquier cosa para que les interese? Sin contar que también existen mujeres violadoras y si no fuera poco... también hay ""pacos"" mujeres."
00481-11,"@user En Alternativo. jajajaja y tu crees que a las pacas las respetan, como no eres de Chile no tienes ni idea del odio que hay para esa institución. ""LA PACA JALERA, NO ES MI COMPAÑERA""obvio que no te suena. 
La protesta es por algo que le pudo haber pasado a cualquier mujer en las comisarías, instituciones que siguen un reglamento, lo que tu describes es una presunción de conducta individual, crea una canción al respecto del daño que te han hecho entonces. Porqué ¿supongo que te pasó? Te duele que las minas no se fijen en ti?"
00481-12,"@user Sí, todo eso igual le pudo haber pasado a un hombre y en vez de decir un ""sí"" te ríes... qué nivel el tuyo."
00481-13,a cuanto el familiar ??
482,Las únicas chicas que salen son de menos de 30 años. Y las cuarentonas y abuelas?. Que ganas de hinchar está juventud mediocre jaja
483,QUE MUERA EL MACHISMO UWU
00483-1,Y el hembrismo
00483-2,@user N0
00483-3,@user porque no
00483-4,@user ay nose :v
484,No me molesta que diga el volador eres tu me gusta demasiado esta canción los felicito muy chebre
485,TODAS ELLA FUERON VIOLADAS O COMO?
00485-1,QUE SABES TU
00485-2,Y PARA HACER ESO NO TIENEN QUE SER VI0LADAS
486,No todos los hombres son malos eso si muy Machista
00486-1,No todas las mujeres son malas eso sí muy feminazi
487,Todas las que salen en el video son más fea que una tormenta de mierda nos os vieran en Pamplona bajo un toro
488,Pinches viejas malcojidas!!!!
489,"Un feto: la culpa no era mía, tú ideología o tú economía, LA ASESINA ERES TÚ, LA ASESINA ERES TU."
00489-001,"@user entiendo tu postura, pero cuando hablamos de niñas, estamos hablando de casos especiales, no podemos juzgarla al igual que una joven o una adulta, en eso pues si estoy de acuerdo, pero no veo la necesidad de legalizar el aborto para proteger a las niñas"
00489-002,"Además falta mucha educación sexual en los colegios para que no anden mirando porno ,que eso de educación no tiene nada y ahí es donde aprende la mayoría por eso tienen mentalidad de enfermos. Si el sexo es normal que pase en alguna etapa de tu vida y existe el preservativo y las pastillas anticonceptivas que se toman al otro día si fuiste irresponsable, que es lo mismo que no querer tener un hijo. Pero a algunos padres les avergüenza enseñarles a sus hijos preadolescente y les enseñan a ser educado pero se les olvida que no tiene experiencia y puede ser irresponsable y dejar embarazada a una niña y después le pasa dinero para que aborte y eso es por respetar a sus padres o madres."
00489-003,"@user pues más que la educación sea de relaciones sexuales, que sean educados mejor en la relación afectiva ya que no es lo mismo"
00489-004,"@user tengo muchas amigas a las que el tipo les a pasado plata por no tener hijo con ellas. No es decisión de ellas ,casi siempre es por el hombre no quiere hacerse cargo. si el aborto se legaliza o no, no creo que haya mayor diferencia lo único que cambiaría es que las mujeres que quedan embarazadas de una violación puedan sacarse a un hijo de alguien tan sucio. si el feto no tiene la culpa, pero no por eso van a estar obligadas a tenerlo , porque cada vez que vea a su hijo recordara una experiencia que quizás nunca olvide porqe sufrirá al saber que es su hijo . Ojalá todos puedan comprender eso porque es una mala experiencia y capaz no se olvide, pero si uno puede desconcentrarse en otras cosas y salir adelante como cualquier trauma. Las putas van a seguir siendo putas igual eso no cambia y seguirán abortando lamentablemente. Aunque no legalizan lo hacen si les molesta a ellas no les importa. Lo que debe importar es que eduques bien a tus hijos. no enseñándoles a tratar mal al sexo opuesto todo lo contrario , para que puedan formar familia sin problemas externos."
00489-005,"@user lamentablemente los abortos seguirán existiendo, el mundo cada vez va de mal en peor, ahora, es lamentable la situación de las que son abusadas, pero no podemos solucionar un crimen con otro crimen, es como si yo robara porque me robaron, no tiene lógica y tampoco porque me hayan robado quiere decir que tengo derecho a robar, se que el proceso es traumático, pero, las personas que han sido violadas no les ayuda lo del aborto, no es como que las violen y ya el aborto sea la gran solución para que no sigan estando traumadas, yo no digo que se queden con el niño, pueden darlos en adopción, hay muchas parejas que no pueden tener hijos, la genética moderna dice que apartir de cuando haya concepción la vida de un ser humano inicia, así que, no podemos arreglar un crimen con otro, se que el proceso es duro, no digo que sea fácil, pero ahí es donde realmente las personas cercas necesitan apoyar a esas mujeres a seguir adelante hayan o no hayan abortado, porque aunque aborte el trauma sigue, el feminismo pinta al aborto como la solución de la violación cuando en realidad no es así, el trauma sigue y un feto que jamás pidió ser concebido ha sido el que ha cargado con la pena máxima para un violador, la muerte, mientras tanto la mujer sigue traumada porque no se siente como ella esperaba y el hombre por acá por otro lado campante tomándose una cerveza, el feminismo ha tenido la oportunidad de que las leyes se cambien en contra de los violadores, a qué las sentencias sean más duras e incluso para muerte, pero el feminismo ha votado en contra de estas leyes, me sorprende porque en sí no está a favor de la mujer como ellas dicen, les duele más la muerte de un violador a qué la muerte de un feto que no tuvo la culpa.

Si leíste todo gracias por tomarte el tiempo y pues lo que tenga que pasar va a pasar y eso no se puede evitar"
00489-006,"@user no no leí todo porque creo que no entendiste . Sigues obligando a qué tengan al bebé y no es justo eso. Se que es un crimen, pero las anticonceptivas es exactamente igual.las mujeres lo harán igual y no todas las mujeres son irresponsables, ni tontas como piensas . todos creen que eso va a aumentar y no es cierto será igual pero con la diferencia que lo anotarán en un papel para informarlo al mundo . Tu no eres el que va a parir un trauma no se olvida , pero más trauma es vivir mirando a un hijo de una violación y que es sangre tuya y de un progenitor al que tú no aceptas para nada. Siento que ustedes piensan que tiene que tener a ese bebé porque viene de una relación sexual normal y estamos hablando de una violación es ahí la diferencia. Como si el mundo no hiciera crimen al matar a un animal y comerlo eso también es una vida. Ustedes están jugando , pero porque mejor no juzgan a una prostituta ellas deben ser las que más lo hacen , pero cuando pongo el tema ,los hombres las defienden diciendo que van al médico y son limpias ? No es así solo ignoran la verdad. Además son ellas las que arruinan su cuerpo al no cuidarse y abortar una y otra vez . Osea que , mira yo jamás lo e hecho y creo que la mayoría no, lo mas lógico es cuidarse , pero hay falta educación. Si miras bien a una mujer te darás cuenta de cuan arruinadas estan porque han hecho abortos y se nota porque se ven como desnutridas o flacas , pero también puede ser que no se alimenta bien ya que ahora todas quieres ser flacas para los hombres y se ponen pálidas y ojerosas o consumen drogas por eso su flakedad . También creen que tienen que ser aprobadas por los hombres y no son educadas bien . Porque no necesita una mujer seducir a muchos hombres , solo al que le gusta , pero los hombres no quieren amor , solo sexo. Es cosa de buscar gente educada y de eso hay poco."
00489-007,"Ahora sí leí todo pero la ley debería matar a los violadores y asesinos. Y si eres tú la dueña de tu cuerpo debería ser tu decisión no de alguien que nunca sabrá lo que se siente. Si te das cuenta las mujeres violadas se bañan sintiendo sucio su cuerpo. Imagínate lo que sería para ellas tener algo dentro nueve meses de un asqueroso. dices no será fácil y necesitará apoyo , necesitará toda la vida una explicación de porque lo tuvo si era una violación y tú crees que ese niño al nacer no buscará a su padre? Todas las personas que conozco sin padre terminan buscando . Piensa un poco con humanidad que es difícil la vida pero no para arruinarla así . Suena frío y es lamentable pero ese niño no alcanzara a vivir al igual que un animal bebé cuando lo matan para comerlo debería ser ley . Las mujeres hacen eso , no todas . Y no lo apoyo , solo las estoy cuidando. Hay que educarse bien y enseñar a sus hijos a ser responsables y darles confianza , no dejarse llevar por la televisión y la música que enseña a la promiscuidad y que los hombres son los que ponen nota de hermosura y depravación. Porque eso es tener mente de violador. Una persona no debería andar mirando el cuerpo de nadie , menos de una menor o joven , primero se respeta."
00489-008,"@user Que malo que no leiste, así ya no te fijaste lo que dije más adelante, ahí yo presenté una solución, pero bueno, entiendo tu punto de vista, cada quien tiene forma de opinión.

Solo para que sepas en E.U el aborto es legal y hay muchas muertes a causa de este problema a comparación de Polonia que no es legal, no hay tantas muertes de mujeres por este problema."
00489-009,"@user nose que es más traumático, dar a luz un bebé o a qué maten a tu bebé, yo sé que es muy difícil ese proceso, imagínate los que les han asesinado a un familiar, ahora entiendo porque asesinan personas, los que han sufrido violencia, ahora entiendo porque son violentos y porque no se les juzga por la causa, a lo que voy es que aborte o no aborte el trauma sigue ahí, el aborto no es la solución, yo no estoy obligando a nada a nadie si quiere abortar es la decisión de ellas, pero solo trato de que se den cuenta que si abortan o no, el trauma seguirá no cesará, pero bueno cada quien tiene su punto de vista"
00489-010,"@user si en verdad queremos ayudarlas, creo que las formas pueden ser de otra manera, si es que en realidad queremos ayudar no podemos hacer como que nada pasó, por qué si pasó, lo mejor que se puede hacer es que se de cuenta que ella vale mucho y que es fuerte porque no cualquiera puede soportar eso y buscar la ayuda de un psicólogo el sabrá cómo ayudarla, pero no podemos borrar un suceso que pasó y hacer que nada pasó, cuando en realidad si fue así"
00489-011,"@user bueno es tu punto de vista, dices que sea más humano, pero no encuentro en ti humanidad cuando dices que matemos a un bb que aún no ha nacido, en verdad no encuentro lo humano"
00489-012,"@user científicamente el feto no es parte del cuerpo de la mujer, porque tiene carga y ADN diferente, por ejemplo, tu estás dentro de tu casa, tu no eres parte de la casa, solo estás ahí dentro viviendo, así es el bb, no es el parte del cuerpo de la mujer, solo vive dentro"
00489-013,"@user si lo leí después . La solución es tener al bebe con apoyo de tu familia , pero no todos tenemos la misma vida. Si mueren sabrán que es irresponsable hacerlo y así podrían educarse mejor y no andar embarazabnose de personas que no aceptan. En ese país aclaran lo que acá pasa en oculto. Y además eso del aborto me suena a excusa para oponerse a las feministas . cuando lo único que piden son los mismos derechos que los hombres ya que a los hombres les pagan más y no los humillan por su sexo en el ámbito laboral y que de una vez empiezen a respetar a las mujeres y no las juzguen por su físico . para que dejen de acosarlas o es que ustedes quieren eso ? Si hay mujeres enfermas que cometen errores por fanatizarse i quizás tengan algún rencor con algún hombre .no generalizar .una comprende que hay hombres tontos en el machismo y que se burlan , pero los hombres no pueden entender que hay mujeres ridículas que cagan todo lo que necesitamos que comprendan ."
00489-014,"@user si ocupamos la lógica que tú dices entonces, hay que matar a todos los que tengan síndrome de down, a todos los ciegos, paralíticos y a pobres de una vez, porque nunca tendrán una vida digna, es algo extremo, pero más o menos así estás diciendo, hay que meter a la cárcel al hijo de un violador ya que fue producto de una violación, verdad que no tiene la culpa, al igual que los pobres y enfermos 

Estoy muy de acuerdo, creeme estoy súper de acuerdo contigo de que se cuiden y todo eso, pero la parte que dices que el aborto es la solución, creeme no lo puedo ver de esa forma, no te enojes conmigo, solo que para mí no es así, yo respeto tu forma de pensar."
00489-015,"@user no te conozco pero creo que eres una maravillosa mujer, ojalá todos fueran como tú, el mundo sería mucho mejor y el aborto no sería un tema a tratar pero bueno, cada persona es mundo diferente.

He conocido a mujeres que ha sido violadas y tuvieron a los hijos, creeme terminaron amándolos, también te conocido a mujeres que no los amaron pero lo dieron en adopción, ahora esos niños viven con una familia que si los quiere en verdad, así como esas mujeres salieron adelante y están conciente de que fueron violadas, pero aún así fueron fuertes y no le dieron el gusto al violador de estar caídas, yo sé que tienen las mismas oportunidades las demás mujeres que lamentablemente tuvieron que pasar por esa situación, creeme ojalá y esas acciones sean castigas fuertemente para que secen"
00489-016,"@user paso paso , pero no por eso va a tener a un hijo de un demente . Además que los genes son fuertes. No seamos egoístas que si piensas que las mujeres son putass y van a embarazarse muchas veces y abortar ya lo están haciendo en este momentos y son unas sucias las que hacen eso . solo ellas sufren las consecuencias. Son tan dueñs de su cuerpo como cuando tienen sexo alocado con cualquier persona . Primero deberían solucionar las mentes de los hombres que piensan que todas las mujeres son prostitutas o un objetivo sexual."
00489-017,"@user estoy de acuerdo contigo, pero todo depende de la educación en casa, en realidad ambos géneros deben ser educados de una mejor forma, como te digo, eres increíble ojalá todos fueran como tú"
00489-018,"@user soy hombre no me ofende lo que dicen pero... La verdad es que el feminismo no está tan a favor de la mujer sinceramente, lo que ustedes quieren es igualdad ante la ley, en eso estoy de acuerdo y créeme me llena de rabia cuando veo que una mujer es humillada por un hombre, lo detesto, pero hoy en día la ley protege, la forma en que pueden parar y denunciar los hechos"
00489-019,"@user nose de que país vienes pero, en mi país hay muchas mujeres en la política, si el hombre político no hace caso, las mujeres que tienen poder pueden hacerlo"
00489-020,"@user realmente ya no se vive un sistema patriarcado como ellas dicen, estoy de acuerdo en que seamos iguales ante la ley, pero si me molesta cuando son agresivas y seamos sinceros, muchas mujeres denigran al hombre, se que no son todas pero, como pueden exigir una igualdad cuando ellas mismas no lo dan, aparte los dueños de las empresas les conviene contratar a más mujeres, se ahorrarían un montón de dinero pagandoles a las mujeres menos por el mismo trabajo solo por el simple hecho de ser mujer"
00489-021,¿Esto es real? ¿Nacéis sin neuronas o es que es simplemente tenéis ganas de molestar porque no tenéis otra cosa mejor que hacer en la vida?
00489-022,"@user pues aunque te cueste de creer si es real sí,por desgracia en este mundo hay mujeres sin neuronas que no tienen nada mejor que hacer que matar a sus bebes en lugar de darlos en adopcion, y ademas solo hacen que sacar canciones ridículas ,generalizan con el hombre y tratándolo de criminal, sin pararse a pensar que su padre hermanos o marido son hombres. La verdad te doy toda la razón es sorprendente y parece irreal, a veces tengo la sensación de que todo este movimiento feminista no es más que una @useranza de mujeres lesbianas que odian a los hombres y les meten mierdas en el cerebro al resto de mujeres que se dejan llevar por la ola, no tienen la suficiente personalidad para decir NO a mí no me vendéis la moto. Yo he sido siempre feminista hasta hace como 7 años que deje de serlo, porque esto no es un movimiento que busca igualdad es un movimiento que busca supremacía y caza y odio al varón y quien no sepa a verlo tienes razón le faltan neuronas."
00489-023,"@user No, me refiero a si es real tu estúpido comentario que solo puede formularlo alguien sin neuronas. Y acabas de confirmar que efectivamente eres de los que nos acusa de ""feminazis"" por nuestra lucha hacia la liberación de la mujer. Cada día me sorprendéis menos porque todos usáis los mismos argumentos, si es que a lo que decís se les puede llamar argumentos. Yo lo llamo pataleta. Es bastante infantil lo que hacéis. Está claro que para ser feminista necesitas ser una persona madura que no vaya por la vida creyéndose la víctima e insultando a las mujeres, ya que además de ser un machista condenado, eres un homófobo y lo reflejas con todo lo que has dicho, y una persona que insulta y menosprecia, solo puede ser una persona inmadura y resentida. Quizás algún día maduras y dejas de ir diciendo tonterías."
00489-024,"@user PD: ""El violador eres tú"" se refiere a los hombres que han violado y en todas esas situaciones donde a las mujeres se nos ha cuestionado la credibilidad por ser agredidas sexualmente, eso no significa ni mucho menos que cualquier hombre sea un violador, sino que cuando se ha dado la circunstancia, el violador es el que viola, y no es nuestra culpa ni de cómo vestíamos ni dónde estábamos. El ""macho violador"" es el sistema patriarcal que nos juzga por ir solas o vestidas como nos apetezca, y por ello fomenta la cultura de la violación donde parece que se normalice la violencia machista y sexual hacia las mujeres. Si tú te sientes aludido, será que alguna vez has sido violador, porque sino no entiendo a qué viene la pataleta. El que roba, es un ladrón, el que mata, es un asesino/homicida, y el que viola, es un violador, pero en estos casos, se nos cuestiona más nuestra libertad que la actitud del violador. Como hay que explicarlo todo porque sino no os enteráis y os pensáis que son ataques hacia cualquier hombre, te explico. Si tú después de leer la explicación no lo quieres entender y quieres seguir con tus niñerías, tú sabrás, pero reflexiona sobre las gilipolleces que dices ya que al menos los argumentos tienen que estar fundados y tener un poco de sentido."
00489-025,"@user ves como sois unas histéricas radicales? Puedes decir lo mismo sin insultar crees que serías capaz? das vergüenza ajena, no seré yo quien alimente al troll, hasta nuncaaa ☺"
00489-026,"@user Si supieras el origen de la palabra ""hysteria"" y ""radical"" dudo mucho que me lo dijeras con la intención de ofenderme ya que son palabras con las que me identifico bastante y no precisamente por la interpretación que se les ha dado, sino por su significado real. Te animo a que leas la procedencia de esas dos palabras. Y yo no te he insultado, te he dicho que reflejas no tener neuronas ni tener madurez con tus comentarios, pero puesto que tú interpretas el feminismo como una guerra hacia los hombres, siempre verás ataques donde no los hay. Buenas tardes 😘P"
00489-027,@user sí como tú que afirmas que según qué tipo de comentario es la fuente principal de la cultura de la violación jajaja estáis enfermas enfermas de odio a todo lo que sea sexo masculino.
00489-028,"@user yo he escuchado compañeras tuyas de movimiento afirmar de forma demente que el coronavirus es por culpa de los hombres puesto que los hombres son los más afectados si no hubiera hombres no habría el coronavirus, y otras de vosotras afirman que si los hombres son los más afectados es por el karma. Si eso no es ser radical ya me dirás tú que lo es, nosotros no somos el enemigo, estáis enfermas de odio irracional."
00489-029,"@user Tonterías a parte. Ni a mí ni a cualquier persona con un poco de cabeza se le ocurriría culpar a los hombres de contraer y contagiar el coronavirus por el hecho de que mueran más hombres que mujeres al infectarse del mismo. No pongas en mi boca ni en la boca de muchísimas otras mujeres que jamás hemos dicho comentarios tan deleznables como este ni mucho menos para desprestigiar el movimiento feminista utilizando esa excusa para decirnos que estamos mal de la cabeza y que somos unas enfermas. Por esa regla, yo podría ir juzgando a cualquier hombre y tratándolo de enfermo porque una parte mate, maltrate, agreda y abuse sexualmente de mujeres que hasta fecha de hoy son más las 7000 fallecidas a manos de hombres. ¿Entonces si juzgo a todos los hombres a pesar que no todos violan ni matan pero sí tienen la característica común de ser hombres, soy una enferma, no? Pero tú porque hayas escuchado disparates de una parte mínima del colectivo ya te crees con el derecho de llamarme a mí y a muchas otras mujeres enfermas."
00489-030,@user Estarás preparado para entender por qué este tipo de comentarios son los que forman la base de la pirámide de la violencia de género cuando intentes comprender nuestra indignación que no nuestro odio y por supuesto cuando dejes de mofarte y llamarnos enfermas.
00489-031,"@user si no queréis que generalicen con los comentarios de muchas de vosotras no hacer canciones generalizando con el resto de los hombres, no hagas con los demás lo que no te gusta que hagan contigo"
00489-032,"@user Es que nadie está generalizando con la canción 😂 la canción va dirigida a los violadores, no a los hombres, a ver si os enteráis ya 😂 la canción no dice ""todo hombre es violador"" pero tú sí dices que las feministas estamos enfermas.as"
00489-033,"@user todos formamos parte de el estado, déjate de niñerías todos sabemos lo que da a entender la canción perfectamente ahora pintado de rosa."
00489-034,"@user estáis enfermas de odio,tanto como para decir las barbaridades que decís, afirmar que los hombres somos el origen de el mal de todo el mundo....
Incluso llegáis a decir que el coronavirus es culpa nuestra, o que nos afecta más a los hombres por puro karma y te digo llegáis porque tú te estás haciendo la bandera del feminismo si tú generalizas yo generalizó. Los violadores tienen que estar presos para que no violen, 
Y las que cometan denuncias falsas también deben estar presas y deben estar presas el mismo tiempo qué podría haber estado la víctima de su denuncia falsa, si denuncias una violación que es falsa y la condena deberían ser 15 años la que denuncia falsamente tendría que pasar 15 años en prisión de esta manera solo las que realmente fueran sido víctimas de algún tipo de delito denunciaría, no se puede dar la inmunidad que se está dando a las mujeres para hacer denuncias falsas. Por supuesto que un violador tiene que estar en prisión, yo añadiría más ,cadena perpetua revisable .
pero la que denuncie falsamente con la intención de joderle la vida a alguien tan bien tiene que pagar con cárcel."
00489-035,"@user ¿Otra vez? ¿No sabes leer o es que no quieres? Siguiendo tu ejemplo de cambiar la palabra ""macho"" por ""negro"", ¿Te parece bien que se le llame racista a un blanco que insulta a un negro, y cree que su posición de blanco le hace superior a un negro? Yo creo que racista es justamente lo que sería esa persona. En cambio, una persona blanca que no hace eso y ve a un negro como una persona más independientemente de su color, no es una racista, por tanto, no se puede decir que todas las personas blancas somos racistas, pero sí que los blancos son los racistas. Pues esta canción es exactamente lo mismo. No todos los hombres son violadores, pero sí son hombres los que violan, por tanto, esta canción va dirigida a los hombres que violan, no a todos los hombres, igual que llamar racista a alguien va dirigido al blanco que es racista, no a todas las personas blancas. Yo ya no sé en qué idioma tengo que decirlo para que se entienda."
00489-036,"@user Y si tú te sientes insultado imagínate cómo nos sentimos las mujeres por cada desprecio que recibimos de los hombres. Acoso sexual, micromachismos constantes, comentarios que no queremos oír, impotencia cada vez que tenemos que volver solas porque tenemos muchísimo miedo de que nos pase algo que a miles de mujeres les ha pasado por ir solas, que en el mejor de los casos de queda solo en una agresión sexual y no acaba con nuestra vida, pero en el peor de los casos, sí nos matan. Imagínate cómo nos sentimos cada vez que nos juzgáis por defender nuestra integridad, cómo nos sentimos cuando tenemos que aguantar que estéis más preocupados de una canción que no va dirigida si quiera a todos los hombres y que apartéis la realidad que es la cantidad de mujeres que matan y violan cada día, semana, mes, año que pasa. Imagínate lo que nos puede llegar a ofender y doler eso para que @useráis y digáis ""no todos somos así"", cuando yo he llegado mil veces llorando a casa de la impotencia retenida de no darle una hostia a cada hombre que me ha hecho sentir como un objeto opinando sobre mi cuerpo o insultándome porque no recibo sus opiniones como él cree que debería hacerlo una mujer. Pero eso no lo vas a entender porque ni te va a pasar ni te vas a querer poner en nuestra piel porque seguro que dirás que a los hombres también os pasa, y ese es el problema."
00489-037,"@user estas fatal el racismo antiblanco es latente. al igual que hay mujeres que violan y muchísimas, lo que sucede es que si a un hombre no lo excitas y no trempa pues no puedes tener sexo con el ,además de la fortaleza física de el hombre que hace que la violación sin erección no sea posible, pero amiga mia que le pregunten a las presas en los centros penitenciarios si las mujeres violan o no jajaja"
00489-038,"@user la actitud que cada uno quiera llevar en la vida es cosa suya, quién quiere vivir feliz sin miedo y alguien quiere vivir odiando y con miedo eso ya está en tu cabeza y en la de cada uno, yo recomendaría ayuda profesional no es necesario estar loca para ir a un sicologo. Lo único que si deveis hacer es respetar."
00489-039,"Verga ._. 
esa yo creo si les dolió"
00489-040,"Weno kbros voy a dar mi humilde opinión de esto, estoy al favor del aborto siento que esta totalmente mal que una mujer que a sido violada tenga obligatoriamente ese bebé. Se que no tienen la culpa, y lo de darlo en adopción sera una noticia muy triste porque algún día se enterara que es adoptado y además de eso que nació por una violación, en mi opinión que podrían ser las noticias más horribles de tu vida que hasta te podrían llevar al suicidio
No soy psicóloga pero igualmente hay una probabilidad talvez muy baja pero es una probabilidad

Gracias por leer mi biblia uwu"
00489-041,"@user yo no sé de qué país eres tú, pero en la adopción no se aportan datos de la madre y Con decir que no te puedes hacer cargo de el niño es más que suficiente, no hace falda contar tu vida. Los datos de las personas que dan en adopción y el porque son privados y de carácter interno ni siquiera los funcionarios pueden dar esa información sin el consentimiento de la madre, entra dentro de la ley de protección de datos."
00489-042,Yo si estoy a favor del aborto pero de lo demás las feministas no
00489-043,ALV UN FETO QUE HABLA
00489-044,@user sub-realista verdad? Tanto como revindicar unos derechos y igualdades qué ya se tienen haciendo la ridícula en la calle.
00489-045,@user no la matan aweonao solo si es después de las ttece semanas ahí si la matan por eso los abortos son antes de las trece semanas
00489-046,"@user para que convertir a una niña violada en la asesina de su hijo, de hecho las estadísticas muestran que es más probable que es esa niña desee tener ese bebé, al final ustedes son las que hacen que las condenas a los violadores de los que tanto se quejan les bajen las penas, es mucha hipocresía, lo que dices, el aborto no es seguro y no es gratuito, todo es de entendimiento tan básico 🙄🙄🙄🙄ón d"
00489-047,@user bueno eso debería ser decisión de cada una pues no sabes lo que puede pasarte y como lo vas a manejar. Los anticonceptivos hacen el mismo daño ni hay diferencia alguna es solo el hecho que las personas imaginan y defiendan como el asesinato no tiene nada que ver con eso.
00489-048,"A ver, si una mujer quiere abortar porque se protegió y el condón o pastilla falló etc. ¿Quien es ALGUIEN para decirles que no?. Están en su pleno derecho, no solo es su cuerpo, es su FUTURO.

Veamos el otro lado de la moneda, si el papá no quiere hacerce cargo, se larga y ya está, así de simple. Cosa que en LA y otras latitudes prácticamente es cultura, la mujer criando sola a sus hijos porque el tipo la usó como objeto sexual hablando crudamente. Ahora, si ALGUNOS hombres lo hacen, ¿Por qué la mujer no puede tener la misma decisión?, El tipo si se va, se va y ya, pero ella queda ""presa"" para siempre, obligada a parir, cosa que no quiso.

¿O quieren que las parejas que no quieren hijos, vivan en la abstinencia?, es una ridiculez por Dios, piensen, por más protección que haya, no existe ningún método 100% efectivo, si éste falla, pues lo lógico es abortar, no hay que tener 2 neuronas.

Además, dejen la hipocresía... Les apuesto mi testículo y la mitad del otro, que el 90% de los que no apoyan el aborto, son los mismos ""angelitos"" que cuando un niño les pide comida en la calle, se voltean y no les dan ni una migaja... ¿Ellos para Uds. no existen verdad?... Es decir, ¿Para qué traer criaturas al mundo a sufrir?, ESO sí es cruel e inhumano, traer una persona al mundo a pasar hambre y trabajo.

OJO: es lo ÚNICO que apoyo de ese movimiento mal llamado 'feminismo', pa que quede claro... De hecho vine a reírme un rato."
00489-049,"Parece que no termináis de entenderlo, nadie obliga a criar a un niño a nadie.
Pero nadie tiene derecho a quitar una vida. 
Existe la adopción para las madres que no quieren hacerse cargo de sus hijos. 
No solo no están haciendo el malo, sino que están haciendo el bien porque estarán permitiendo vivir a un bebe, ayudando a las personas que desean de todo corazón tener un hijo y no pueden tenerlo, bien por infertilidad o bien porque no son parejas heterosexuales,
no hay excusas."
