id,comment,comment_cleaned_with_stop_Words,comment_cleaned_w/o_stopWords,type_comment,related_video
167,"Que estúpidas con su ""argumento"" si es que se le puede decir así, solo dicen son injustas con ella por el hecho de ser Mujeres.
Soy mujer y digo con orgullo y lo dije frente a una marcha feminista, estas mujeres no me representan, piden igualdad cuando ella se pasan la ley sin consecuencias.","que estúpidas con su argumento si es que se le puede decir así solo dicen son injustas con ella por el hecho de ser mujeres
soy mujer y digo con orgullo y lo dije frente a una marcha feminista estas mujeres no me representan piden igualdad cuando ella se pasan la ley sin consecuencias",estúpidas argumento si puede decir así solo dicen injustas hecho ser mujeres mujer digo orgullo dije frente marcha feminista mujeres representan piden igualdad pasan ley consecuencias,Opinion about the video or content,yes
00167-01,explicate,explicate,explicate,Personal exchange,no
00167-02,Amiga estás en todo tu derecho pero las cosas que tenemos es gracias al feminismo si dices que es estúpido cantar contra un estado que ignora lo que nos pasan si eres una tonta que cree que es un himno misandrico no hay nada de eso,amiga estás en todo tu derecho pero las cosas que tenemos es gracias al feminismo si dices que es estúpido cantar contra un estado que ignora lo que nos pasan si eres una tonta que cree que es un himno misandrico no hay nada de eso,amiga derecho cosas gracias feminismo si dices estúpido cantar ignora pasan si tonta cree himno misandrico,Opinion about the video or content,yes
00167-03,No te conozco pero te amo. 😍😍😍😍😍_x300030__x300030__x300030__x300000__x300030_,no te conozco pero te amo xtres mil treintaxtres mil treintaxtres mil treintaxtreintaxtres mil treinta,conozco amo ,Evaluation of the interlocutor,no
00167-04,"Desde haces siglos.
Ojala que no se detengan y sigan exigiendo su derecho ,el derecho a ser reconocidas y ser respetadas.","desde haces siglos
ojala que no se detengan y sigan exigiendo su derecho el derecho a ser reconocidas y ser respetadas",haces siglos ojala detengan sigan exigiendo derecho derecho ser reconocidas ser respetadas,Opinion about the video or content,yes
00167-05,Es verdad piden justicia y andan grafiteaando cosas de los demas y no es justo que ellas pidan eso y se lo pasen por los huevos las leyes,es verdad piden justicia y andan grafiteaando cosas de los demas y no es justo que ellas pidan eso y se lo pasen por los huevos las leyes,verdad piden justicia andan grafiteaando cosas demas justo pidan pasen huevos leyes,Opinion about the video or content,yes
00167-06,@user Jajajajajajajajaja,@user jajajajajajajajaja,@user jajajajajajajajaja,Evaluation of the interlocutor,no
00167-07,"@user creo que ella se refiere a que no es necesario llamar a todos los hombres machistas, opresores, o incluso violadores por sólo bajar de su casa a comprar el pan, nmms",@user creo que ella se refiere a que no es necesario llamar a todos los hombres machistas opresores o incluso violadores por sólo bajar de su casa a comprar el pan nmms,@user creo refiere necesario llamar hombres machistas opresores incluso violadores sólo bajar casa comprar pan nmms,Opinion about the video or content,yes
00167-08,Bravo demuestrales las cosas como son,bravo demuestrales las cosas como son,bravo demuestrales cosas,Personal exchange,no
00167-09,"@user a lo que se refiere es que no generalizar a los hombres como machistas o violadores ya que su ""himno"" generaliza con ""y el violador eres tú""",@user a lo que se refiere es que no generalizar a los hombres como machistas o violadores ya que su himno generaliza con y el violador eres tú,@user refiere generalizar hombres machistas violadores himno generaliza violador,Opinion about the video or content,yes
00167-10,@user No necesariamente.,@user no necesariamente,@user necesariamente,Personal exchange,no
00167-11,"@user a ver .... en primer lugar solo dio su opinion el unico punto esque esas mujeres no representan nada sabes porque ? Porque ese ""himno "" no soluciona nada generaliza a todos los hombres cuando casi la mayoria no hace nada . Informate y deja de decir tonterias por dios. 
Y las cosas que tienen las mujeres por feminismo ? WTF ... hay leyes y esas leyes no lo han echo solo las mujeres hay hombres que apoyan eso y me incluyo asi que en vez de decir eso del "" gracias al feminismo tienes eso "" mejor di gracias a la union de hombres y mujeres supieron afrontar las desigualdades de generlo para que la mujer tenga derechos","@user a ver en primer lugar solo dio su opinion el unico punto esque esas mujeres no representan nada sabes porque porque ese himno no soluciona nada generaliza a todos los hombres cuando casi la mayoria no hace nada informate y deja de decir tonterias por dios 
y las cosas que tienen las mujeres por feminismo wtf hay leyes y esas leyes no lo han echo solo las mujeres hay hombres que apoyan eso y me incluyo asi que en vez de decir eso del gracias al feminismo tienes eso mejor di gracias a la union de hombres y mujeres supieron afrontar las desigualdades de generlo para que la mujer tenga derechos",@user ver primer lugar solo dio opinion unico punto esque mujeres representan sabes himno soluciona generaliza hombres casi mayoria hace informate deja decir tonterias dios cosas mujeres feminismo wtf leyes leyes echo solo mujeres hombres apoyan incluyo asi vez decir gracias feminismo mejor di gracias union hombres mujeres supieron afrontar desigualdades generlo mujer derechos,Opinion about the video or content,yes
00167-12,Amiga somos un movimiento no tú manager mi ciela 👄.,amiga somos un movimiento no tú manager mi ciela,amiga movimiento manager ciela,Evaluation of the interlocutor,no
00167-13,es politica izquierdista radical disfrazada de feminismo,es politica izquierdista radical disfrazada de feminismo,politica izquierdista radical disfrazada feminismo,Opinion about the video or content,yes
00167-14,"Y dicen, nos juzgan por nacer

3 doritos después,
El violador eres tú, el estado opresor es un MACHO violador","y dicen nos juzgan por nacer

tres doritos después
el violador eres tú el estado opresor es un macho violador",dicen juzgan nacer tres doritos después violador opresor macho violador,Opinion about the video or content,yes
00167-15,Sos re pelotuda amiga,sos re pelotuda amiga,sos re pelotuda amiga,Evaluation of the interlocutor,no
00167-16,Jajajaja y eso les dan derecho a romper toda las casas de los demás no que viva total yo salgo de mí casa le rompo las ventanas a mis vecino pinto las Paredes hago mucho Quilombo y todo se resuelve si digo quiero igualdad,jajajaja y eso les dan derecho a romper toda las casas de los demás no que viva total yo salgo de mí casa le rompo las ventanas a mis vecino pinto las paredes hago mucho quilombo y todo se resuelve si digo quiero igualdad,jajajaja dan derecho romper toda casas demás viva total salgo casa rompo ventanas vecino pinto paredes hago quilombo resuelve si digo quiero igualdad,Evaluation of the interlocutor,no
00167-17,@user pero dice la verdad,@user pero dice la verdad,@user dice verdad,Personal exchange,no
00167-18,"@user :D no somos manager para representarte,, amix😬Q",@user d no somos manager para representarte amixq,@user d manager representarte amixq,Personal exchange,no
00167-19,"@user el feminismo de tercera ola es una cagada , ya consiguieron todos sus derechos , y claro mueren miles de hombres también",@user el feminismo de tercera ola es una cagada ya consiguieron todos sus derechos y claro mueren miles de hombres también,@user feminismo tercera ola cagada consiguieron derechos claro mueren miles hombres,Opinion about the video or content,yes
00167-20,Heroína!!!,heroína,heroína,Evaluation of the interlocutor,no
00167-21,@user que miles de hombres?jajajajjjjjajjajajdjda,@user que miles de hombresjajajajajjajajdjda,@user miles hombresjajajajajjajajdjda,Evaluation of the interlocutor,no
00167-22,"@user Antes de estar riéndote , intenta buscar un poco de información , veamos , si en 2017 se registró 460 mil homicidios internacionales y el 75% de la víctimas fueron hombres , eso da 345 mil , osea me quedé corto con decir miles",@user antes de estar riéndote intenta buscar un poco de información veamos si en dos mil diecisiete se registró cuatrocientos sesenta mil homicidios internacionales y el setenta y cinco de la víctimas fueron hombres eso da trescientos cuarenta y cinco mil osea me quedé corto con decir miles,@user riéndote intenta buscar información veamos si dos mil diecisiete registró cuatrocientos sesenta mil homicidios internacionales setenta cinco víctimas hombres da trescientos cuarenta cinco mil osea quedé corto decir miles,Opinion about the video or content,yes
00167-23,tacos de lechuga,tacos de lechuga,tacos lechuga,Other topic,no
00167-24,@user por qué no le respondes a mohamed?,@user por qué no le respondes a mohamed,@user respondes mohamed,Personal exchange,no
00167-25,"cariño, yo soy mujer y estoy cansada de que me digan cosas por la calle o me subestimen mor el hecho de ser chica, el machismo sigue existiendo y yo no soy la única",cariño yo soy mujer y estoy cansada de que me digan cosas por la calle o me subestimen mor el hecho de ser chica el machismo sigue existiendo y yo no soy la única,cariño mujer cansada digan cosas calle subestimen mor hecho ser chica machismo sigue existiendo única,Opinion about the video or content,yes
00167-26,@user tu callate,@user tu callate,@user callate,Evaluation of the interlocutor,no
00167-27,@user gracias el feminismo te volviste idiota.,@user gracias el feminismo te volviste idiota,@user gracias feminismo volviste idiota,Evaluation of the interlocutor,no
00167-28,"@user yapo, que esti bien",@user yapo que esti bien,@user yapo esti bien,Personal exchange,no
00167-29,"@user ahora dilo sin llorar aunque devo decir que hoy estaba caminando y una mujer paso adelanto mio y pasaron unos hombres en un auto y le silvaron pero tambien cuando estaba en un furgon una compañera de colegio le gritaba ""guachito rico"" a los hombres y nadie le decia nada pero si es un hombre el que le hace eso a una mujer HAY ES MACHISMO OOOO pero si la mujer hace eso es como: normal
Es solo eso PARA QUE LO VEAS","@user ahora dilo sin llorar aunque devo decir que hoy estaba caminando y una mujer paso adelanto mio y pasaron unos hombres en un auto y le silvaron pero tambien cuando estaba en un furgon una compañera de colegio le gritaba guachito rico a los hombres y nadie le decia nada pero si es un hombre el que le hace eso a una mujer hay es machismo o pero si la mujer hace eso es como normal
es solo eso para que lo veas",@user ahora dilo llorar aunque devo decir hoy caminando mujer paso adelanto mio pasaron hombres auto silvaron tambien furgon compañera colegio gritaba guachito rico hombres nadie decia si hombre hace mujer machismo si mujer hace normal solo veas,Opinion about the video or content,yes
00167-30,@gato con obesidady dejes de hacerte la victima,@gato con obesidady dejes de hacerte la victima,@user dejes hacerte victima,Evaluation of the interlocutor,no
00167-31,"Desde cuando pisar los derechos de una mujer viendo como violan, maltratan, acosan, explotan y matan diariamente a tus pares es una opinión? No amiga, si no fuera por el feminismo tu en este momento probablemente no tendrías los mismos derechos que tienes ahora. Claro que te representa,mira las cosas desde un punto amplio, no seas egoísta y mira como sufren tus pares, nos quitan oportunidades.",desde cuando pisar los derechos de una mujer viendo como violan maltratan acosan explotan y matan diariamente a tus pares es una opinión no amiga si no fuera por el feminismo tu en este momento probablemente no tendrías los mismos derechos que tienes ahora claro que te representamira las cosas desde un punto amplio no seas egoísta y mira como sufren tus pares nos quitan oportunidades,pisar derechos mujer viendo violan maltratan acosan explotan matan diariamente pares opinión amiga si feminismo momento probablemente mismos derechos ahora claro representamira cosas punto amplio egoísta mira sufren pares quitan oportunidades,Opinion about the video or content,yes
00167-32,@user el estado y hombres como ustedes también se pasan por los huevos las moles de violaciones y acosos que se presentan a diario. Les duele más ver una pares grafiteada a su mamá violada y asesinada.,@user el estado y hombres como ustedes también se pasan por los huevos las moles de violaciones y acosos que se presentan a diario les duele más ver una pares grafiteada a su mamá violada y asesinada,@user hombres ustedes pasan huevos moles violaciones acosos presentan diario duele ver pares grafiteada mamá violada asesinada,Opinion about the video or content,yes
00167-33,"@user no haz entendido el tema de la canción, se refiere solamente a los hombres que apoyan esas actitudes",@user no haz entendido el tema de la canción se refiere solamente a los hombres que apoyan esas actitudes,@user haz entendido tema canción refiere solamente hombres apoyan actitudes,Opinion about the video or content,yes
00167-34,@user no generaliza,@user no generaliza,@user generaliza,Personal exchange,no
00167-35,Callao,callao,callao,Personal exchange,no
00167-36,@user q,@user q,@user q,Other topic,no
00167-37,@user ?,@user,@user,Evaluation of the interlocutor,no
00167-38,"@user el violador eres tú? Te suena ? Todo lo que tenemos es gracias a verdaderas feministas , esa canción es un insulto para la igualdad , no todos los hombres son unos violadores y decir eso es hembrista.",@user el violador eres tú te suena todo lo que tenemos es gracias a verdaderas feministas esa canción es un insulto para la igualdad no todos los hombres son unos violadores y decir eso es hembrista,@user violador suena gracias verdaderas feministas canción insulto igualdad hombres violadores decir hembrista,Opinion about the video or content,yes
00167-39,Casi te pregunto,casi te pregunto,casi pregunto,Personal exchange,no
00167-40,"@user bueno, ajá 
El violador eres tú ;3 
no lo olviden con los ojos tapados , tal vez al editar ese vídeo o al escribirlo se les debió pasar por alto 
que eso podría ser una falta .
ya que están tan al tanto de los
"" micro machismos"" pero no pudieron darse cuenta de eso , qué cosas no :v ?","@user bueno ajá 
el violador eres tú tres 
no lo olviden con los ojos tapados tal vez al editar ese vídeo o al escribirlo se les debió pasar por alto 
que eso podría ser una falta 
ya que están tan al tanto de los
 micro machismos pero no pudieron darse cuenta de eso qué cosas no v",@user bueno ajá violador tres olviden ojos tapados tal vez editar vídeo escribirlo debió pasar alto podría ser falta tan micro machismos pudieron darse cuenta cosas v,Opinion about the video or content,yes
00167-41,"@user me dijiste algo similar a mí y te digo eso es gracias al feminismo , no al feminismo moderno o Neo feminismo :3 tu naciste con los derechos casi todos los derechos básicos (sin contar el aborto) y nadie en su sano juicio se quedaría a ver cómo maltratan a una persona sin hacer nada , no seas una exagerada . Jdr tenéis ese pensamiento metido con calzador hay que ver.
Y nunca dais pruebas sólo soltais acusaciones de mierda hay que ver , pásame la noticia jdr un link o algo","@user me dijiste algo similar a mí y te digo eso es gracias al feminismo no al feminismo moderno o neo feminismo tres tu naciste con los derechos casi todos los derechos básicos sin contar el aborto y nadie en su sano juicio se quedaría a ver cómo maltratan a una persona sin hacer nada no seas una exagerada jdr tenéis ese pensamiento metido con calzador hay que ver
y nunca dais pruebas sólo soltais acusaciones de mierda hay que ver pásame la noticia jdr un link o algo",@user dijiste similar digo gracias feminismo feminismo moderno neo feminismo tres naciste derechos casi derechos básicos contar aborto nadie sano juicio quedaría ver cómo maltratan persona hacer exagerada jdr pensamiento metido calzador ver nunca dais pruebas sólo soltais acusaciones mierda ver pásame noticia jdr link,Opinion about the video or content,yes
00167-42,"Wey gracias a ti las feministas dejaron de hacer marchas porque dijiste que tu no las representas!ahora están tristes porque no las tomas en cuenta!



Ridícula","wey gracias a ti las feministas dejaron de hacer marchas porque dijiste que tu no las representasahora están tristes porque no las tomas en cuenta



ridícula",wey gracias feministas dejaron hacer marchas dijiste representasahora tristes tomas cuenta ridícula,Personal exchange,no
00167-43,"Olvidas que por esas feministas que no te representan, puedes OPINAR",olvidas que por esas feministas que no te representan puedes opinar,olvidas feministas representan puedes opinar,Opinion about the video or content,yes
00167-44,@user eres tonto o te haces?,@user eres tonto o te haces,@user tonto haces,Evaluation of the interlocutor,no
00167-45,@user Acaso no lo son? En muy pocos países aún no hay equidad,@user acaso no lo son en muy pocos países aún no hay equidad,@user acaso pocos países aún equidad,Opinion about the video or content,yes
00167-46,aqui pasa algo necesitamos igualdad ademas la.poblacion mundial hay mas mujeres que hombre hay mas hombre muertos que mujeres mm pero en parte los violadores son gente que no sabe como consegir garchar,aqui pasa algo necesitamos igualdad ademas lapoblacion mundial hay mas mujeres que hombre hay mas hombre muertos que mujeres mm pero en parte los violadores son gente que no sabe como consegir garchar,aqui pasa necesitamos igualdad ademas lapoblacion mundial mas mujeres hombre mas hombre muertos mujeres mm parte violadores gente sabe consegir garchar,Opinion about the video or content,yes
00167-47,"@user las feministas de antes eran mejor que estás que se creen que por ser hombres son ""agresores"" ""machistas"" asesinos"" ubicate 😒prefería a las de antes que a las de ahoram",@user las feministas de antes eran mejor que estás que se creen que por ser hombres son agresores machistas asesinos ubicate prefería a las de antes que a las de ahoram,@user feministas mejor creen ser hombres agresores machistas asesinos ubicate prefería ahoram,Opinion about the video or content,yes
00167-48,"@user Tremenda ignorante sos,esas mujeres son *misandricas* ,no feministas",@user tremenda ignorante sosesas mujeres son misandricas no feministas,@user tremenda ignorante sosesas mujeres misandricas feministas,Evaluation of the interlocutor,no
00167-49,"@user en ningún momento he dicho que sean feministas y si, son misandricas. 
Y llevo bastante tiempo viendo esto en mi instituto y también veo videos en decisión propia sobre esto. No creo que necesitabas insultarme por dar mi opinión.","@user en ningún momento he dicho que sean feministas y si son misandricas 
y llevo bastante tiempo viendo esto en mi instituto y también veo videos en decisión propia sobre esto no creo que necesitabas insultarme por dar mi opinión",@user ningún momento dicho feministas si misandricas llevo bastante tiempo viendo instituto veo videos decisión propia creo necesitabas insultarme dar opinión,Evaluation of the interlocutor,no
168,El violador será ella ostia,el violador será ella ostia,violador ostia,Evaluation of the interlocutor,no
169,My queens ❤️❤️❤️🦋_x0001_,my queens xuno,my queens xuno,Evaluation of the interlocutor,no
170,Si la canción de por si ya es insoportable verlas bailar semejante idiotez ya es cuando uno se da cuenta de lo que hace el aburrimiento en las mujeres puede llegar a extremos inimaginables,si la canción de por si ya es insoportable verlas bailar semejante idiotez ya es cuando uno se da cuenta de lo que hace el aburrimiento en las mujeres puede llegar a extremos inimaginables,si canción si insoportable verlas bailar semejante idiotez da cuenta hace aburrimiento mujeres puede llegar extremos inimaginables,Opinion about the video or content,yes
171,SE LAS VIOLARON A TODOS SE PASAN LAS FEMINISTAS XD,se las violaron a todos se pasan las feministas,violaron pasan feministas,Evaluation of the interlocutor,no
172,"Esta canción me da risa😂
En realidad es su culpa por la forma de vestir quien va a la calle de noche con short que se te ve media nalga 
Además si quieren parar el feminismo deben ellas aprender a defenderse no esperar que alguien les salve 👌 
Las mujeres deben actuar por ellas mismas APRENDAN A DEFENDERSE Y CUIDAR BIEN A SUS HIJOS -.-en","esta canción me da risa
en realidad es su culpa por la forma de vestir quien va a la calle de noche con short que se te ve media nalga 
además si quieren parar el feminismo deben ellas aprender a defenderse no esperar que alguien les salve 
las mujeres deben actuar por ellas mismas aprendan a defenderse y cuidar bien a sus hijos en",canción da risa realidad culpa forma vestir va calle noche short ve media nalga además si quieren parar feminismo deben aprender defenderse esperar alguien salve mujeres deben actuar mismas aprendan defenderse cuidar bien hijos,Opinion about the video or content,yes
173,"Alguien pa un pvp en maicraft
O pa fornait","alguien pa un pvp en maicraft
o pa fornait",alguien pa pvp maicraft pa fornait,Other topic,no
174,"Aquí en la Ciudad de México se está volviendo un caos, han habido muchas marchas, entorpeciendo el transporte, afectandonos a todos, agrediendo a los hombres que van pasando...Es correcto que debe haber igualdad, pero están exagerando. Aunque sea en menor proporción; pero también hay casos de hombres violados (yo conocí a un joven que fue violado a los 5 años por una señora), hombres golpeados por su mujer aunque se lea ridículo, intentos de homicidio de esposas con celotipia, hombres a los que les han echado ácido en la cara...y eso no se menciona.",aquí en la ciudad de méxico se está volviendo un caos han habido muchas marchas entorpeciendo el transporte afectandonos a todos agrediendo a los hombres que van pasandoes correcto que debe haber igualdad pero están exagerando aunque sea en menor proporción pero también hay casos de hombres violados yo conocí a un joven que fue violado a los cinco años por una señora hombres golpeados por su mujer aunque se lea ridículo intentos de homicidio de esposas con celotipia hombres a los que les han echado ácido en la caray eso no se menciona,aquí ciudad méxico volviendo caos muchas marchas entorpeciendo transporte afectandonos agrediendo hombres van pasandoes correcto debe haber igualdad exagerando aunque menor proporción casos hombres violados conocí joven violado cinco años señora hombres golpeados mujer aunque lea ridículo intentos homicidio esposas celotipia hombres echado ácido caray menciona,Opinion about the video or content,yes
00174-1,Falto mencionar que así no se logra nada...lo adecuado sería poner enfasis en la educación; desde niños inculcar el respeto hacia las mujeres y hacia todos en general.,falto mencionar que así no se logra nadalo adecuado sería poner enfasis en la educación desde niños inculcar el respeto hacia las mujeres y hacia todos en general,falto mencionar así logra nadalo adecuado poner enfasis educación niños inculcar respeto hacia mujeres hacia general,Opinion about the video or content,yes
175,"Alguien pasa la base, pa hacer unas batallas chidas",alguien pasa la base pa hacer unas batallas chidas,alguien pasa base pa hacer unas batallas chidas,Other topic,no
176,Yo igual quiero que pare la violencia a la mujer pero ellas exigen respeto pero lo faltan exigen no violencia a la mujer y agreden >:v,yo igual quiero que pare la violencia a la mujer pero ellas exigen respeto pero lo faltan exigen no violencia a la mujer y agreden v,igual quiero pare violencia mujer exigen respeto faltan exigen violencia mujer agreden v,Opinion about the video or content,yes
177,jajaja como me descubrieron ok no,jajaja como me descubrieron ok no,jajaja descubrieron ok,Evaluation of the interlocutor,no
178,Es una mamada!!!! 😂😂😂😂,es una mamada,mamada,Evaluation of the interlocutor,no
179,La violenta eres tú..nanalala... La violenta eres tú.....🎶,la violenta eres túnanalala la violenta eres tú,violenta túnanalala violenta,Evaluation of the interlocutor,no
180,Pa hacer zumba!!!,pa hacer zumba,pa hacer zumba,Other topic,no
181,Cuanto Machirulo exponiendo sus miserables pensamientos en éste canal!! Que Notable tanto Horror.,cuanto machirulo exponiendo sus miserables pensamientos en éste canal que notable tanto horror,cuanto machirulo exponiendo miserables pensamientos éste canal notable horror,Evaluation of the interlocutor,no
00181-01,Tan notable como la canción.,tan notable como la canción,tan notable canción,Evaluation of the interlocutor,no
00181-02,@user respondiendo a las manifestaciones de las Mujeres.,@user respondiendo a las manifestaciones de las mujeres,@user respondiendo manifestaciones mujeres,Evaluation of the interlocutor,no
00181-03,"@user ¿y como sabes que soy macho? ¿No se supone que el genero es subjetivo? Puedo ser una mujer que este en contra, me parece que ese es el problema con ustedes, generalizan tanto que no tiene sentido lo que dicen.",@user y como sabes que soy macho no se supone que el genero es subjetivo puedo ser una mujer que este en contra me parece que ese es el problema con ustedes generalizan tanto que no tiene sentido lo que dicen,@user sabes macho supone genero subjetivo puedo ser mujer parece problema ustedes generalizan dicen,Opinion about the video or content,yes
00181-04,"@user podes ser lo que quieras, el Problema está en tu mente Machista Patriarcal!",@user podes ser lo que quieras el problema está en tu mente machista patriarcal,@user podes ser quieras problema mente machista patriarcal,Evaluation of the interlocutor,no
00181-05,"@user Busca vos tu sentido primero.
Nosotras tenemos buen claro el nuestro!","@user busca vos tu sentido primero
nosotras tenemos buen claro el nuestro",@user busca vos primero buen claro,Personal exchange,no
00181-06,"@user a mi me parece que no tienen bien claro, a menos que su propósito sea malo ahí si.",@user a mi me parece que no tienen bien claro a menos que su propósito sea malo ahí si,@user parece bien claro menos propósito malo ahí si,Personal exchange,no
00181-07,"@user Tenemos Bien Claro nuestro Propósito, lo que vos entiendas o no es tu problema.",@user tenemos bien claro nuestro propósito lo que vos entiendas o no es tu problema,@user bien claro propósito vos entiendas problema,Personal exchange,no
00181-08,@user ¿y si lo que ustedes entienden resulta ser que no es lo correcto? Las guerras siempre existieron el problema seria saber de que lado estar.,@user y si lo que ustedes entienden resulta ser que no es lo correcto las guerras siempre existieron el problema seria saber de que lado estar,@user si ustedes entienden resulta ser correcto guerras siempre existieron problema seria saber lado,Personal exchange,no
00181-09,"@user Acá No hay guerras, la muertas están de un sólo lado! 
A ver si comenzas a ser conciente de la realidad.","@user acá no hay guerras la muertas están de un sólo lado 
a ver si comenzas a ser conciente de la realidad",@user acá guerras muertas sólo lado ver si comenzas ser conciente realidad,Personal exchange,no
00181-10,"@user Tarde o temprano van a morir, el aborto no soluciona el problema de la muerte.",@user tarde o temprano van a morir el aborto no soluciona el problema de la muerte,@user tarde temprano van morir aborto soluciona problema muerte,Opinion about the video or content,yes
182,"Que venda que tienen en los ojos, es verdad que no pueden ver más alla de sus propios ojos y queda demostrado por ellas mismas.",que venda que tienen en los ojos es verdad que no pueden ver más alla de sus propios ojos y queda demostrado por ellas mismas,venda ojos verdad pueden ver alla propios ojos queda demostrado mismas,Opinion about the video or content,yes
00182-1,Se ponen la venda para no ver el ridículo que están haciendo (>:o)_/'__/,se ponen la venda para no ver el ridículo que están haciendo o,ponen venda ver ridículo haciendo,Opinion about the video or content,yes
183,"1:29 ""el presidente""
@user: ahh si turras! Ahora no les apruebo un carajo el aborto legal, seguro y gratuito.","ciento veintinueve el presidente
@user ahh si turras ahora no les apruebo un carajo el aborto legal seguro y gratuito",ciento veintinueve presidente @user ahh si turras ahora apruebo carajo aborto legal seguro gratuito,Other topic,no
00183-1,"En realidad la mencion al presidente es porque en Chile, Sebastián Piñera hizo un chiste de muy mal gusto sobre la violación. Puedes buscarlo si te place.",en realidad la mencion al presidente es porque en chile sebastián piñera hizo un chiste de muy mal gusto sobre la violación puedes buscarlo si te place,realidad mencion presidente chile sebastián piñera hizo chiste mal gusto violación puedes buscarlo si place,Opinion about the video or content,yes
00183-2,"@user Para mi ponen todo en una misma bolsa, hay hombres buenos y hombres malos así como hay mujeres buenas y mujeres malas, desde mi punto de vista el movimiento feminista actual carece de sentido común porque lo único que veo son mujeres caprichosas que no tienen nada mejor que hacer.",@user para mi ponen todo en una misma bolsa hay hombres buenos y hombres malos así como hay mujeres buenas y mujeres malas desde mi punto de vista el movimiento feminista actual carece de sentido común porque lo único que veo son mujeres caprichosas que no tienen nada mejor que hacer,@user ponen misma bolsa hombres buenos hombres malos así mujeres buenas mujeres malas punto vista movimiento feminista actual carece común único veo mujeres caprichosas mejor hacer,Opinion about the video or content,yes
00183-3,@user por eso se refieren a los malos entiendes ??,@user por eso se refieren a los malos entiendes,@user refieren malos entiendes,Personal exchange,no
00183-4,@user es una broma @user estamos en una época donde cada vez nos aguantamos menos como sociedad.,@user es una broma @user estamos en una época donde cada vez nos aguantamos menos como sociedad,@user broma @user época cada vez aguantamos menos sociedad,Opinion about the video or content,yes
184,To épico,to épico,to épico,Evaluation of the interlocutor,no
185,Wueonas no saben ni limpiarse el poto y anda en esta wuea,wueonas no saben ni limpiarse el poto y anda en esta wuea,wueonas saben limpiarse poto anda wuea,Opinion about the video or content,yes
186,"Entiendo en parte que las mujeres estén enojadas pero, esa canción también es muy ignorante 😕, y lo digo porque no saben ni lo que están diciendo, en la parte después del violador eres tú, menciona al “estado” y también dicen que el “estado es un macho opresos” Se dan cuenta que el Estado está compuesto por, territorio, gobierno, soberanía y POBLACIÓN significa que le están diciendo violadores a todas las personas, sean hombres, mujeres y niños 😕, generalizado todo 😕🤷🏻‍♂️cia j",entiendo en parte que las mujeres estén enojadas pero esa canción también es muy ignorante y lo digo porque no saben ni lo que están diciendo en la parte después del violador eres tú menciona al “estado y también dicen que el “estado es un macho opresos se dan cuenta que el estado está compuesto por territorio gobierno soberanía y población significa que le están diciendo violadores a todas las personas sean hombres mujeres y niños generalizado todo cia j,entiendo parte mujeres enojadas canción ignorante digo saben diciendo parte después violador menciona “estado dicen “estado macho opresos dan cuenta compuesto territorio gobierno soberanía población significa diciendo violadores todas personas hombres mujeres niños generalizado cia j,Opinion about the video or content,yes
187,K os habéis fumado? Habéis perdido el respeto de la mitad de la población. La maltratadora eres tú !!,k os habéis fumado habéis perdido el respeto de la mitad de la población la maltratadora eres tú,k fumado perdido respeto mitad población maltratadora,Evaluation of the interlocutor,no
188,"Las mujeres crean una cancion
Los hombres lo hacen un meme xd","las mujeres crean una cancion
los hombres lo hacen un meme",mujeres crean cancion hombres hacen meme,Opinion about the video or content,yes
189,Si pero sin desmadres,si pero sin desmadres,si desmadres,Personal exchange,no
190,Jajajjaa que buena rola jjaaja,jajajjaa que buena rola jjaaja,jajajjaa buena rola jjaaja,Opinion about the video or content,yes
191,Es el nuevo Gangnam Styles o que chingaos XD 😂🤣 jajajajaja jajajajaja,es el nuevo gangnam styles o que chingaos jajajajaja jajajajaja,nuevo gangnam styles chingaos jajajajaja jajajajaja,Opinion about the video or content,yes
00191-1,Lmao,lmao,lmao,Other topic,no
00191-2,"No compares, Gangnam te hacia mover el esqueleto y te hacia feliz, esta canción feminista solo te hace querer arrancarte los oidos.",no compares gangnam te hacia mover el esqueleto y te hacia feliz esta canción feminista solo te hace querer arrancarte los oidos,compares gangnam hacia mover esqueleto hacia feliz canción feminista solo hace querer arrancarte oidos,Opinion about the video or content,yes
192,Bueno veo que encontraron manera de que estas vagas inútiles hagan un poco de ejercicio,bueno veo que encontraron manera de que estas vagas inútiles hagan un poco de ejercicio,bueno veo encontraron manera vagas inútiles hagan ejercicio,Opinion about the video or content,yes
193,Que baile choto jjajajja,que baile choto jjajajja,baile choto jjajajja,Opinion about the video or content,yes
194,ballan a hacer la comida xd,ballan a hacer la comida,ballan hacer comida,Opinion about the video or content,yes
00194-1,Valla a primero básico a aprender a escribir bien :),valla a primero básico a aprender a escribir bien,valla primero básico aprender escribir bien,Evaluation of the interlocutor,no
00194-2,vaya a kinder a aprender a escribir bien,vaya a kinder a aprender a escribir bien,vaya kinder aprender escribir bien,Evaluation of the interlocutor,no
00194-3,@user en que año te quedaste?,@user en que año te quedaste,@user año quedaste,Evaluation of the interlocutor,no
00194-4,@user Jaja en el siglo XXI no como tu en los 60,@user jaja en el siglo xxi no como tu en los sesenta,@user jaja siglo xxi sesenta,Evaluation of the interlocutor,no
00194-5,@user por que dices que me quede en los 60,@user por que dices que me quede en los sesenta,@user dices quede sesenta,Personal exchange,no
